yyyy,mm,tmax,tmin,af,rain,sun,station
2013.0,1,6.8,3.1,10.0,74.1,47.4,aberporth
2013.0,2,6.7,2.0,4.0,60.4,90.5,aberporth
2013.0,3,6.6,1.0,13.0,40.0,127.3,aberporth
2013.0,4,10.3,4.3,5.0,33.4,184.2,aberporth
2013.0,5,12.2,6.4,0.0,60.8,196.9,aberporth
2013.0,6,15.9,9.9,0.0,45.0,217.9,aberporth
2013.0,7,20.7,13.6,0.0,36.0,291.5,aberporth
2013.0,8,18.6,13.2,0.0,73.4,152.7,aberporth
2013.0,9,16.8,11.6,0.0,61.8,96.7,aberporth
2013.0,10,14.8,10.9,0.0,137.4,71.3,aberporth
2013.0,11,10.0,5.7,0.0,89.8,54.5,aberporth
2013.0,12,9.6,4.8,0.0,161.4,40.0,aberporth
2014.0,1,8.4,4.0,0.0,195.4,28.8,aberporth
2014.0,2,8.3,3.8,0.0,171.6,73.8,aberporth
2014.0,3,10.5,4.4,0.0,48.8,131.0,aberporth
2014.0,4,12.7,6.9,0.0,55.8,160.1,aberporth
2014.0,5,14.3,8.9,0.0,63.4,144.1,aberporth
2014.0,6,17.1,11.1,0.0,54.8,253.3,aberporth
2014.0,7,19.3,13.4,0.0,20.2,205.8,aberporth
2014.0,8,17.5,12.2,0.0,106.8,169.2,aberporth
2014.0,9,18.3,11.9,0.0,12.6,174.2,aberporth
2014.0,10,14.7,10.1,0.0,110.6,76.8,aberporth
2014.0,11,11.2,6.4,0.0,122.8,80.6,aberporth
2014.0,12,8.9,4.9,1.0,83.2,46.1,aberporth
2015.0,1,7.7,3.5,2.0,97.6,45.3,aberporth
2015.0,2,6.9,2.5,5.0,59.0,69.5,aberporth
2015.0,3,8.8,3.8,0.0,54.0,137.8,aberporth
2015.0,4,12.8,5.4,0.0,26.2,221.5,aberporth
2015.0,5,12.9,7.7,0.0,82.4,163.6,aberporth
2015.0,6,16.7,10.2,0.0,39.0,226.7,aberporth
2015.0,7,17.8,12.1,0.0,97.0,168.2,aberporth
2015.0,8,17.6,11.7,0.0,77.8,158.7,aberporth
2015.0,9,16.0,10.2,0.0,51.8,153.9,aberporth
2015.0,10,13.9,8.8,0.0,75.0,99.2,aberporth
2015.0,11,12.6,7.7,0.0,148.0,32.7,aberporth
2015.0,12,11.8,7.7,0.0,210.4,21.1,aberporth
2016.0,1,8.9,4.5,0.0,146.0,25.5,aberporth
2016.0,2,7.8,3.5,2.0,85.6,64.4,aberporth
2016.0,3,8.7,3.5,0.0,64.4,129.5,aberporth
2016.0,4,10.2,4.9,0.0,52.2,143.9,aberporth
2016.0,5,15.2,8.8,0.0,56.4,190.9,aberporth
2016.0,6,17.0,11.7,0.0,75.8,149.9,aberporth
2016.0,7,18.3,12.9,0.0,50.4,140.4,aberporth
2016.0,8,18.9,13.2,0.0,41.4,150.4,aberporth
2016.0,9,17.9,12.2,0.0,98.8,103.4,aberporth
2016.0,10,14.1,8.6,0.0,40.2,135.4,aberporth
2016.0,11,9.4,5.4,1.0,76.6,73.7,aberporth
2016.0,12,10.0,5.4,1.0,54.2,46.5,aberporth
2017.0,1,7.9,3.9,2.0,55.2,60.5,aberporth
2017.0,2,8.8,4.6,1.0,75.4,51.5,aberporth
2017.0,3,11.1,5.5,0.0,110.8,96.2,aberporth
2017.0,4,11.5,6.6,0.0,16.6,158.6,aberporth
2017.0,5,16.2,9.4,0.0,32.4,224.3,aberporth
2017.0,6,17.8,11.8,0.0,105.4,171.6,aberporth
2017.0,7,18.3,12.6,0.0,85.6,165.2,aberporth
2017.0,8,17.6,12.0,0.0,99.0,142.7,aberporth
2017.0,9,15.9,11.0,0.0,145.0,90.2,aberporth
2017.0,10,14.6,10.5,0.0,29.8,57.8,aberporth
2017.0,11,10.7,6.6,0.0,130.2,38.8,aberporth
2017.0,12,8.6,4.9,1.0,123.0,32.4,aberporth
2018.0,1,8.4,3.8,0.0,117.2,53.5,aberporth
2018.0,2,6.3,1.3,10.0,48.6,91.3,aberporth
2018.0,3,7.7,2.3,6.0,97.0,100.6,aberporth
2018.0,4,12.1,6.4,0.0,70.6,152.2,aberporth
2018.0,5,15.3,8.1,0.0,33.4,219.4,aberporth
2018.0,6,19.1,12.4,0.0,10.2,270.2,aberporth
2018.0,7,20.3,13.4,0.0,58.6,244.8,aberporth
2018.0,8,18.5,12.6,0.0,63.8,128.5,aberporth
2018.0,9,16.0,10.8,0.0,94.0,132.5,aberporth
2018.0,10,13.5,8.5,0.0,131.6,107.7,aberporth
2018.0,11,10.9,6.3,0.0,154.0,81.8,aberporth
2018.0,12,9.9,6.3,0.0,125.2,11.3,aberporth
2019.0,1,7.3,3.8,3.0,53.8,31.9,aberporth
2019.0,2,11.0,5.0,1.0,52.8,110.5,aberporth
2019.0,3,10.1,5.1,0.0,83.0,121.4,aberporth
2019.0,4,13.3,6.4,0.0,74.4,145.8,aberporth
2019.0,5,14.2,7.9,0.0,15.0,224.1,aberporth
2019.0,6,16.3,10.6,0.0,138.2,165.6,aberporth
2019.0,7,19.2,13.2,0.0,21.6,208.9,aberporth
2019.0,8,19.4,13.4,0.0,69.4,192.4,aberporth
2019.0,9,17.2,11.8,0.0,103.0,159.7,aberporth
2019.0,10,13.1,8.4,0.0,138.2,78.0,aberporth
2019.0,11,9.3,5.5,0.0,155.2,45.4,aberporth
2019.0,12,9.1,4.6,1.0,126.6,41.8,aberporth
2020.0,1,8.9,4.7,0.0,102.8,45.4,aberporth
2020.0,2,9.0,4.4,0.0,150.8,64.6,aberporth
2020.0,3,9.9,4.0,0.0,50.4,168.2,aberporth
2020.0,4,14.8,7.0,0.0,23.8,225.9,aberporth
2020.0,5,16.8,8.6,0.0,7.4,306.0,aberporth
2020.0,6,17.0,11.2,0.0,111.8,145.9,aberporth
2020.0,7,17.2,12.2,0.0,89.0,163.2,aberporth
2020.0,8,18.6,13.5,0.0,163.0,119.9,aberporth
2020.0,9,17.2,11.1,0.0,69.4,132.7,aberporth
2020.0,10,12.8,8.4,0.0,134.0,49.0,aberporth
2020.0,11,11.7,6.8,0.0,70.8,55.6,aberporth
2020.0,12,8.6,4.6,0.0,190.4,25.3,aberporth
2021.0,1,6.9,2.8,7.0,138.0,38.0,aberporth
2021.0,2,7.9,2.9,6.0,119.4,60.6,aberporth
2021.0,3,9.8,4.6,3.0,38.8,94.7,aberporth
2021.0,4,10.9,3.9,0.0,10.6,255.4,aberporth
2021.0,5,12.7,7.0,0.0,142.6,157.4,aberporth
2021.0,6,17.4,11.0,0.0,18.0,139.5,aberporth
2021.0,7,19.2,13.7,0.0,39.2,177.9,aberporth
2021.0,8,17.8,12.5,0.0,43.8,128.2,aberporth
2021.0,9,18.3,12.9,0.0,105.8,101.5,aberporth
2021.0,10,14.5,10.3,0.0,163.6,56.1,aberporth
2021.0,11,10.9,7.0,1.0,48.8,35.9,aberporth
2021.0,12,10.0,5.7,0.0,99.2,33.1,aberporth
2022.0,1,8.6,4.1,1.0,32.2,56.3,aberporth
2022.0,2,9.8,5.0,0.0,99.6,60.3,aberporth
2022.0,3,11.4,5.2,0.0,34.8,153.9,aberporth
2022.0,4,12.3,5.9,0.0,43.8,142.9,aberporth
2022.0,5,15.6,9.5,0.0,38.6,147.4,aberporth
2022.0,6,17.2,10.7,0.0,35.2,196.9,aberporth
